SampleID,treatment,virus,genotype,ct,genome_size,x20x,x30x,perc_20x,perc_30x,genotype2,label.x,label.y
p1336-100034,capture,huNoV,GI.1,26.86,7526.148148,7618,7591,101.22043640642934,100.86168715689224,GI.1,NA,NA
p1336-100035,capture,huNoV,GI.1,24.67,7526.148148,7649,7648,101.63233369293489,101.61904668369279,GI.1,NA,NA
p1336-100038,capture,huNoV,GI.1,31.78,7526.148148,7597,7597,100.94140921234494,100.94140921234494,GI.1,NA,NA
p1336-100042,capture,huNoV,GI.1,24.24,7526.148148,7643,7643,101.55261163748222,101.55261163748222,GI.1,NA,NA
p1336-100126,capture,huNoV,GI.1,45,7526.148148,470,151,6.244894343793882,2.006338395559311,GI.1,NA,NA
p1336-100135,capture,huNoV,GI.1,45,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100195,capture,huNoV,GI.1,20.91,7526.148148,7653,7652,101.68548172990336,101.67219472066124,GI.1,NA,NA
p1336-100197,capture,huNoV,GI.1,25.01,7526.148148,7659,7659,101.76520378535605,101.76520378535605,GI.1,NA,NA
p1336-100209,capture,huNoV,GI.1,30.8,7526.148148,7653,7653,101.68548172990336,101.68548172990336,GI.1,NA,NA
p1336-100215,capture,huNoV,GI.1,32.0499999999999,7526.148148,7588,7583,100.8218261291659,100.75539108295533,GI.1,NA,NA
p1336-100316,capture,huNoV,GII.4,30.14,7526.148148,7545,7543,100.25048473175498,100.22391071327074,GII.4,NA,NA
p1336-100319,capture,huNoV,GI.1,45,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100496,capture,huNoV,GI.1,45,7526.148148,7468,7392,99.22738502011215,98.21757231771143,GI.1,NA,NA
p1336-100513,capture,huNoV,GI.1,23.89,7526.148148,7636,7636,101.4596025727874,101.4596025727874,GI.1,NA,NA
p1336-100517,capture,huNoV,GI.1,23.07,7526.148148,7658,7658,101.75191677611393,101.75191677611393,GI.1,NA,NA
p1336-100613,capture,huNoV,GI.1,26.23,7526.148148,7602,7602,101.00784425855551,101.00784425855551,GI.1,NA,NA
p1336-100626,capture,huNoV,GI.1,28.38,7526.148148,0,0,0,0,GI.1,NA,NA
p1336-100637,capture,huNoV,GI.1,34.88,7526.148148,7591,7590,100.86168715689224,100.84840014765014,GI.1,NA,NA
p1336-100641,capture,huNoV,GI.1,32.5499999999999,7526.148148,7596,7595,100.92812220310282,100.91483519386071,GI.1,NA,NA
p1336-100691,capture,huNoV,GI.1,45,7526.148148,2357,1147,31.317480783664212,15.240199600705495,GI.1,NA,NA
p1336-100700,capture,huNoV,GI.1,45,7526.148148,337,0,4.477722114592634,0,GI.1,NA,NA
p1336-100869,capture,huNoV,GI.1,20.22,7526.148148,7666,7666,101.85821285005085,101.85821285005085,GI.1,NA,NA
p1336-100884,capture,huNoV,GI.1,31.48,7526.148148,7597,7596,100.94140921234494,100.92812220310282,GI.1,NA,NA
p1336-101015,capture,huNoV,GI.1,45,7526.148148,5164,3649,68.61411572628,48.48429672447633,GI.1,NA,NA
p1336-101016,capture,huNoV,GI.1,29.3,7526.148148,7645,7627,101.57918565596644,101.34001948960838,GI.1,NA,NA
p1336-101019,capture,huNoV,GI.1,29.05,7526.148148,7635,7634,101.4463155635453,101.43302855430318,GI.1,NA,NA
p1336-101022,capture,huNoV,GI.1,34.2299999999999,7526.148148,7593,7593,100.88826117537647,100.88826117537647,GI.1,NA,NA
p1336-101385,capture,huNoV,GI.1,27.84,7526.148148,7593,7593,100.88826117537647,100.88826117537647,GI.1,NA,NA
p1540-1295-44-AP,capture,huNoV,GII.17,21.5,7526.148148,0,0,0,0,Other GII,NA,NA
p1540-723-100595-AP,capture,huNoV,GI.1,30.5,7526.148148,0,43,0,0.5713413974109296,GI.1,p1540-723-100595-AP,p1540-723-100595-AP
p1540-BCM16-1-AP,capture,huNoV,GII.4,28.3,7526.148148,7544,7543,100.23719772251286,100.22391071327074,GII.4,NA,NA
p1540-BCM16-16-AP,capture,huNoV,GII.4,23.2,7526.148148,7559,4782,100.43650286114458,63.538478195792216,GII.4,p1540-BCM16-16-AP,p1540-BCM16-16-AP
p1540-BCM16-2-AP,capture,huNoV,GII.4,28.7,7526.148148,7553,4637,100.3567808056919,61.611861855685596,GII.4,p1540-BCM16-2-AP,p1540-BCM16-2-AP
p1540-BCM16-3-AP,capture,huNoV,GII.4,29.1,7526.148148,7564,7564,100.50293790735515,100.50293790735515,GII.4,NA,NA
p1540-BCM18-1-AP,capture,huNoV,GII.6,31.3,7526.148148,0,0,0,0,Other GII,NA,NA
p1540-BCM18-2-AP,capture,huNoV,GII.6,29.7,7526.148148,7477,7473,99.34696810329118,99.29382006632272,Other GII,NA,NA
p1540-BCM18-4,capture,huNoV,GII.4,30.4,7526.148148,NA,NA,0,0,GII.4,NA,NA
p1540-BCM18-5-AP,capture,huNoV,GII.6,34.5,7526.148148,3592,429,47.726937197675795,5.700126964867182,Other GII,p1540-BCM18-5-AP,p1540-BCM18-5-AP
p1540-BTH19-9-PM,capture,huNoV,GII.4,24.9,7526.148148,295,255,3.9196677264238193,3.3881873567392335,GII.4,NA,NA
p1540-MDA09-1-AP,capture,huNoV,GII.4,23,7526.148148,7564,884,100.50293790735515,11.745716170029343,GII.4,p1540-MDA09-1-AP,p1540-MDA09-1-AP
p1540-TCH-17-78-AP,capture,huNoV,GII.6,29,7526.148148,120,645,1.5944411090537571,8.570120961163944,Other GII,p1540-TCH-17-78-AP,p1540-TCH-17-78-AP
p1540-TCH02-186,capture,huNoV,GII.4,33.6,7526.148148,NA,NA,0,0,GII.4,NA,NA
p1540-TCH04-577-AP,capture,huNoV,GII.3,25.5,7526.148148,7653,4538,101.68548172990336,60.29644794071625,Other GII,p1540-TCH04-577-AP,p1540-TCH04-577-AP
p1540-TCH10-144,capture,huNoV,GII.4,24.2,7526.148148,NA,NA,0,0,GII.4,NA,NA
p1540-TCH10-188-AP,capture,huNoV,GII.4,27.3,7526.148148,7555,5012,100.38335482417612,66.59449032147859,GII.4,p1540-TCH10-188-AP,p1540-TCH10-188-AP
p1540-TCH15-123-AP,capture,huNoV,GII.4,23.5,7526.148148,7560,5076,100.4497898703867,67.44485891297393,GII.4,p1540-TCH15-123-AP,p1540-TCH15-123-AP
