gene	p1442-3001727211	p1442-3001727214	p1442-3001727215	p1442-3001727216	p1442-3001727220	p1442-3001753458	p1442-3001753485	p1442-3001753502	p1442-3001753554	p1442-3001753597	p1442-3001753601	p1442-3001753602	p1442-3001753617	p1442-3001753627	p1442-3001753628	p1442-3001753632	p1442-3001753641	p1442-3001753646	p1442-3001753675	p1442-3001753677	p1442-3001753682	p1442-3001753686	p1442-3001753687	p1442-3001753701	p1442-3001753708	p1442-3001753722	p1442-3001753724	p1442-3001753726	p1442-3001753740	p1442-3001753742	p1442-3001753747	p1442-3001753757	p1442-3001753768	p1442-3001753783	p1442-3001753790	p1442-3001753792	p1442-3001753793	p1442-3001753794	p1442-3001962495	p1442-3001962499	p1442-3002215568	p1442-3002215597	p1442-3002781122	p1442-3002781131	p1442-3002781156	p1442-3002781210	p1442-3002781211
NS1	50714.6774	71033.9189	52927.1496	79613.3073	60309.5994	48029.5739	46758.7886	46654.6698	66287.7259	54169.4911	65819.0157	62093.2100	57741.8311	45542.2425	60433.3912	72911.5933	55466.3237	46089.5628	61264.0639	54633.1683	50161.0768	27253.6945	50527.5214	34649.9922	87072.5960	62528.5722	38343.6093	30176.2082	63894.1454	43132.4616	58914.0608	49365.0864	52736.7616	45733.5672	58870.1769	39303.5595	32103.3557	40980.1547	53371.5780	37440.1775	58301.1295	28265.8493	36535.9589	57557.3260	51633.0433	43408.6612	37871.1542
NS2	46134.4129	36131.1392	24115.6377	34100.7684	28411.8140	30962.8938	20534.2653	31621.1180	49124.5068	33405.9067	22275.4233	29150.7946	29170.5299	24016.0878	35491.6580	39866.6187	21687.4642	26295.9661	37534.2799	37254.1403	26166.7446	13779.1890	36662.7372	17689.8618	39450.7735	34699.9314	38829.7487	15138.3681	13973.7468	29658.4762	18952.0355	20988.5652	20189.0503	16950.2900	34552.4443	19336.6578	28356.0346	20645.6516	23181.4355	13147.0906	27862.0273	19713.8824	15652.3276	21144.0798	30154.0340	25853.6786	23317.3392
N	39445.1595	46493.9504	33859.3576	36967.7492	37200.0208	32417.7620	24561.2502	26842.7511	30758.1815	34472.9511	24450.3573	35187.2835	42260.0126	24945.7289	45606.7118	47727.8734	27930.4819	32641.4630	35363.8451	40999.1702	21455.8728	17999.7054	40159.1679	23474.5972	53232.0738	40623.8233	33996.8647	19861.8441	22294.5357	18814.2753	23941.9564	30948.3008	26412.8020	24767.5003	24540.3548	24490.6331	16036.0118	26909.0679	29156.9439	22052.1617	41958.6912	21739.9351	20326.7948	35715.4971	34542.2595	33229.5423	28450.8048
P	51323.4797	43993.3986	41975.7584	46118.2311	58399.0107	34774.2353	31773.8491	33561.1693	56578.2132	51577.9728	35712.9902	41454.0692	42740.1499	25275.2332	50921.4140	46830.9173	27196.5538	38865.4064	48610.2001	50098.0092	31779.2456	18428.5141	44998.0013	27317.5332	61969.6847	43451.2182	38118.0694	16541.4449	48379.2010	35620.6338	37691.8881	27421.2866	26717.7223	25315.1287	34388.4802	59890.9070	38841.2828	30122.8509	34577.0021	22602.4895	71320.3929	39003.8929	28730.7743	31070.8321	34807.3631	57912.4127	42196.7056
M	51980.6534	55692.0987	56187.4392	63943.1832	79743.1041	44222.2362	41605.5752	37152.4479	66822.7477	59868.8689	55043.5076	46659.6513	51221.9211	49540.0023	63076.4835	53700.1196	45982.8729	51253.8606	61318.7406	46909.0880	31207.6180	24376.8975	52393.5754	27257.1745	72444.2675	56455.7512	48245.1837	28071.9445	58259.2333	34896.7490	42776.7103	40931.0578	39538.4669	37011.0054	40841.0927	34683.4661	28374.8252	33268.9347	44724.6928	33855.0271	75124.9658	38421.5653	41406.2788	45614.6021	40615.5904	71036.6654	61263.0797
SH	98744.7524	143642.6575	162743.6538	181341.9999	188581.0358	83043.7384	111940.8881	103075.2494	117292.7761	159145.2247	147183.2857	89487.4661	133247.9303	172223.5410	185681.0047	138718.9039	147400.0282	118595.0079	130721.1147	97789.6443	108161.4723	88525.6795	133048.6907	127065.6687	126192.7764	131387.8204	109093.6285	98540.4935	208121.7525	98751.3003	104601.2587	96010.6591	122327.2105	93505.1671	128777.7282	96392.5292	72962.4401	83613.6734	173036.6013	91444.9655	175762.6551	64173.4469	126658.0494	98350.2426	107475.4534	139355.5344	128327.1021
G	89729.3570	107879.3083	147166.2188	138146.4581	188657.6074	59571.8668	95750.2452	77090.4580	71567.9361	133125.9285	139603.3123	68528.1155	126780.8617	131548.1316	170365.5810	98132.3389	112172.2569	101414.5913	115108.8254	110556.7492	108930.5402	58682.1700	85994.2635	73045.8816	138774.5451	118957.2410	103504.3170	71766.6190	239597.3127	76020.1932	97541.3813	82549.5854	98050.7163	115890.8542	105473.2040	78493.6445	53921.5904	49910.3924	141034.5833	64151.7989	219540.4426	80681.5135	104401.3858	80584.5818	97180.8486	187814.2282	108162.2805
F	36801.8479	47244.0970	35673.0488	31377.0994	36418.0975	35609.9777	29597.5852	26338.9449	30851.6596	36164.7495	22920.8834	33061.9291	34097.4046	25652.4631	43996.9505	36734.1327	24118.8889	35314.6909	34437.5076	41238.1993	19596.5518	15991.5694	42046.9745	19908.7957	46648.4346	37312.2141	28649.1655	17001.6928	23247.4796	16811.9556	18811.5980	30870.4101	24008.3732	23039.4119	20505.1121	24538.9009	15632.3477	26989.3342	28391.9361	23896.1044	36863.6116	21230.2712	23832.5636	30952.4683	34060.9397	35975.2249	35106.7294
M2-1	36717.0463	40041.7827	28751.9386	32145.3729	30439.1424	32972.2662	24516.9981	24201.1509	23520.9391	32844.4880	19633.6676	30537.6033	30997.4599	26431.7468	37565.1099	36577.4624	22734.7753	27946.0895	35326.9572	27933.4725	13422.5838	12771.9822	38048.8131	16569.9609	50764.4742	35994.6617	21933.3523	10758.5961	24743.9448	18513.4315	19205.3572	31543.5875	20434.4195	21978.5065	18666.5379	19889.4812	14895.9887	21742.3782	21377.5241	19563.4890	34752.0250	21805.3160	20769.3287	32283.6817	26507.8324	31022.9118	32641.9851
M2-2	28782.0484	43106.2023	21085.6444	23091.6350	23965.5331	30331.6170	19829.2716	17652.9970	24209.9720	25455.1958	10607.1618	31350.9573	19892.2456	14029.1946	27768.8891	30191.0713	13083.0953	26918.4336	20779.9255	22672.3049	7175.1833	10773.4550	31096.3179	10239.8635	34133.3015	27073.9487	27618.2404	7327.0903	11564.2544	11193.0872	11249.8541	21307.8239	12290.8163	13234.3582	13011.9878	14712.7015	11930.1355	18237.0448	15901.4516	15986.7677	20364.3065	13385.8748	10077.0998	13811.2166	34394.6055	19718.5241	22232.9287
L	42567.9957	51729.2777	40938.8580	36027.9930	41711.6817	44599.6688	32389.4466	28319.8309	26881.3513	40919.1438	29167.9041	39606.9467	44887.7781	32964.8919	46406.3436	43523.2307	31381.4230	37683.8358	37253.6991	35562.9852	22557.2220	19203.0781	43711.3184	30958.8725	52062.0206	41651.7474	36104.5895	18777.5118	29921.9005	18527.2806	24985.8831	36126.8302	29733.7961	30855.1193	23729.5322	29257.9707	16721.7930	33087.9195	31903.1016	30173.4512	45307.0035	25166.6832	30758.1304	38706.7406	44852.7630	38962.9020	43756.3342
