gene	p1442-3001753338	p1442-3001753441	p1442-3001753651	p1442-3001753669	p1442-3001753701	p1442-3001753703	p1442-3001753707	p1442-3002215536	p1442-3002215567	p1442-3002215588	p1442-3002215596	p1442-3002215616	p1442-3002215635	p1442-3002215636	p1442-3002215665	p1442-3002215695	p1442-3002215741	p1442-3002215758	p1442-3002780898	p1442-3002780917	p1442-3002780925	p1442-3002780935	p1442-3002780943	p1442-3002780968	p1442-3002781116	p1442-3002781120	p1442-3002781121	p1442-3002781127	p1442-3002781129	p1442-3002781133	p1442-3002781150	p1442-3002781153	p1442-3002781155	p1442-3002781157	p1442-3002781161	p1442-3002781177	p1442-3002781185	p1442-3002781186	p1442-3002781227
NS1	43579.4265	79175.8262	48092.8995	23779.1862	41706.1484	72061.6394	23153.7890	61185.9923	51968.5983	32391.5127	14619.1940	55323.4723	57268.7793	32082.6031	54195.8380	57225.9968	34015.1780	50118.9793	60753.9232	29896.0321	38660.3671	52071.1533	86304.0663	50542.2111	68280.9981	54531.6347	35715.9435	26292.0757	29747.3354	59268.3548	71301.9095	50621.9955	25008.1443	43719.0884	55149.7067	43109.2771	69617.4394	50335.6215	48906.5222
NS2	27936.3497	51721.0161	39684.1938	22630.6033	33983.6690	32164.7608	29619.8811	46720.4471	63578.1474	37705.5406	16523.0739	62493.1953	62804.0888	34631.5242	57624.2939	52997.7515	42127.8984	44063.4653	54297.5170	38819.7073	40032.5340	29925.4398	30284.2742	34554.6059	38967.5371	37626.0147	25629.5976	21661.8131	19731.8656	50885.2225	37501.0981	68035.7479	20006.6622	29561.2940	36257.8666	53724.4328	55299.9863	65933.9893	56757.0963
N	17087.7838	36181.1565	21560.8875	12319.5125	15683.6007	22960.9326	17285.6282	29499.3706	35136.4741	22675.1672	12017.0435	28664.1617	27649.9903	27060.1187	27502.0874	43493.1072	18397.0208	26766.4579	33126.6462	22326.8002	19645.7143	25100.6565	29157.8427	28255.0208	29359.5853	33873.1062	17698.6009	15787.2693	13266.1650	34488.2384	28696.4254	46278.1335	11824.9810	20605.5709	27060.9639	22179.9961	32895.5091	37453.0297	31591.4998
P	20678.0817	50277.2473	27176.8980	13695.1522	21905.6041	36681.3212	23452.6720	38008.3689	50935.3073	31032.4383	15761.6480	49505.2316	48475.3923	32637.6627	42709.6943	45973.5437	26795.7701	35490.5504	41912.0910	26851.9777	28286.0244	25725.0156	30052.3965	28908.9524	33025.6218	36012.1298	19230.4028	15862.7182	15960.9563	47321.8060	38114.6044	45705.1232	15465.3975	22718.1211	30369.2644	34007.4199	38275.0358	57497.5462	49652.9775
M	34597.4357	69858.7976	43724.8880	23917.3816	35459.9735	52304.3602	31869.8460	57605.7576	72681.6730	50099.0225	23213.6407	78337.8994	77474.3827	52170.0827	64820.3472	76640.2345	36247.3201	53594.5365	67508.7992	43790.6555	31861.6207	35151.9488	42534.7674	44912.9125	62805.7585	40265.3012	41453.6637	28040.7707	22794.1706	56749.6836	57689.5567	64377.9277	24310.6822	37478.8927	37410.6145	63639.8007	55818.3717	85493.3461	69971.2081
SH	30799.8238	67709.3581	41836.1039	34033.6345	34032.4671	46685.1241	34946.3730	43916.1727	57981.5349	37051.7956	21911.5674	56362.9064	48578.4452	43225.4355	47835.2606	94276.4760	35396.7889	46513.7901	48750.7711	47003.3137	36690.4405	41380.3165	42997.3495	56609.6033	48260.9577	48379.3954	26747.7598	38494.9389	29095.5134	53842.4160	40864.9141	69130.6462	20457.7540	26849.8584	37096.7254	71881.5770	55746.7610	67029.0410	69579.8456
G	79485.5197	125397.5217	90707.5185	48314.3877	68649.2777	141043.1319	52352.2622	94597.3103	163789.9193	91676.1730	36813.8868	164677.4520	131099.9523	83188.4702	123946.7329	193164.2118	92524.4124	99554.3819	131911.4807	72897.5737	54327.0957	49098.7906	100706.4836	66661.6671	134075.5346	65698.7078	74507.5903	44982.4916	46738.9346	131710.4941	131350.8990	111886.0281	47149.7970	62250.4805	82928.6545	105843.2803	141819.5565	144954.8233	161293.2388
F	31321.1282	54876.4820	37687.4722	17108.5699	26814.8113	35327.7313	29464.8309	45691.0960	55723.9610	38021.9150	23607.2445	53719.9879	49919.9062	39975.0502	45568.0842	46065.2843	29223.1819	41224.0117	53214.5468	34581.8670	26039.4220	33776.1806	36794.2052	43739.3347	41047.0868	38189.6295	30060.5663	21023.6131	20342.0388	55730.3320	46869.5784	56718.6042	18343.9963	26555.5024	35185.4980	37151.6083	48155.8677	58611.3247	52953.0100
M2-1	21998.8271	45713.5717	23747.0690	16552.3707	16347.0196	18365.5878	24143.0641	29110.5777	35866.9570	24405.6837	18795.3206	30959.2330	27542.7666	31580.9312	27039.2834	38398.1040	19519.5744	29816.6788	30718.6751	28934.7169	18813.7720	25139.7608	25211.6777	35272.9467	25738.0660	31519.5839	17149.2791	16328.4755	14290.4567	37297.6914	27259.3038	32943.5478	11885.2418	20257.6484	25846.2279	26823.2756	32140.1720	40317.3306	36249.6599
M2-2	9122.7580	16198.0960	10357.5996	11763.5550	3590.0534	7720.8596	11840.3639	15316.3989	22644.6150	22416.1948	13005.6866	24004.6278	27068.4089	16925.9312	14384.4242	11212.6409	22169.7132	22753.4149	22393.0954	20464.5289	13918.1549	14701.9038	8703.3762	19651.6497	16859.2923	12180.4289	13776.9212	10143.2180	7239.3050	23841.6160	15825.9114	8204.0083	7278.7252	10357.2542	10472.8802	25400.0170	17412.6194	36687.8789	32766.5691
L	32628.3836	50595.5061	41946.2675	21835.1329	32262.8633	34804.3279	39718.0176	41521.6971	45519.6828	33080.9592	28092.5628	41193.7324	34489.1845	40517.6204	37357.8051	44840.5504	28173.1858	39097.2557	47482.7583	38298.2584	28126.3647	41251.5145	42318.0239	49172.2039	38664.9681	43211.1846	29277.1651	22981.9617	23332.7230	50363.5599	38016.9431	49352.3943	20865.1567	26982.8123	33433.4421	32538.5250	47508.4330	47224.9590	41593.6281
