gene	p1442-3001727214	p1442-3001753458	p1442-3001753554	p1442-3001753602	p1442-3001753677	p1442-3001753686	p1442-3001753724	p1442-3001753726	p1442-3001753747	p1442-3001753794	p1442-3001962499	p1442-3002781131	p1442-3002781210
NS1	0	43687.1997	58072.0093	119047.6190	33534.5406	0	0	16767.2703	62783.7342	0	66137.5661	49603.1746	49034.0296
NS2	0	24464.8318	0	0	37558.6854	0	34632.0346	18779.3427	10818.1204	0	0	27777.7778	23536.3342
N	0	54608.9996	0	42517.0068	35929.8649	6591.7840	22086.7568	47906.4865	27597.2458	100040.0160	0	35430.8390	35774.8277
P	0	12636.7933	201572.2637	0	77600.5898	32032.8016	35776.8953	9700.0737	16763.6162	0	0	28696.0514	57544.0678
M	0	47596.9490	31634.5576	64850.8431	36535.6862	0	33688.7496	45669.6078	47355.5852	25431.7032	144112.9846	40531.7769	76317.5558
SH	176834.6596	47047.7535	625390.8693	0	108342.3619	119260.5844	0	72228.2412	156030.5820	201106.0835	0	160256.4103	146347.7192
G	107089.3125	85474.9558	75746.0991	155279.5031	160382.5854	72223.0247	67220.5641	123931.9978	128087.2169	60893.9228	86266.3906	102441.3389	193090.5266
F	79960.0200	26592.2085	14139.2718	57971.0145	32659.7265	17975.5084	60229.6254	12247.3974	22341.7703	34100.5968	32206.1192	27173.9130	30870.1195
M2-1	58944.8865	15682.5845	0	0	24076.0804	26502.3521	22200.0222	24076.0804	17336.7313	33517.6806	94966.7616	44515.6695	30677.7006
M2-2	129148.9087	34360.7188	0	0	26375.4814	58066.9512	0	0	0	0	0	39013.7328	20935.8778
L	63680.0713	40944.1437	22521.0008	46168.0517	36847.7408	17894.5937	37973.7222	11921.3279	26221.2058	36210.2366	12824.4588	28855.0323	38846.9043
