gene	p1442-3001753651	p1442-3001753669	p1442-3001753701	p1442-3001753703	p1442-3002215536	p1442-3002215588	p1442-3002215695	p1442-3002780935	p1442-3002780943	p1442-3002781120	p1442-3002781133
NS1	69516.8578	0	0	62656.6416	51759.8344	46554.9348	98296.1992	39765.3842	90760.5736	33534.5406	60024.0096
NS2	38929.4404	0	65040.6504	0	41407.8675	67039.1061	55045.8716	22268.6152	30495.5527	75117.3709	22408.9636
N	18620.5869	0	0	67132.1160	44893.7339	26127.7695	39006.4283	18640.0239	21609.6604	35929.8649	28582.8617
P	20108.1820	0	0	72495.2878	25666.0336	30780.1222	53706.3715	30193.7577	33253.8741	19400.1474	34724.6337
M	28401.8291	0	31634.5576	34132.0227	56392.0374	39852.4734	53546.5677	37908.6348	39553.2461	91339.2156	54496.5068
SH	0	0	0	0	31369.5966	28215.1120	92669.8174	36903.4816	64174.1430	71133.8740	0
G	117351.6089	0	26141.7405	112822.2485	106515.4148	89816.5945	267952.8403	66009.2592	155256.0294	105671.5427	126095.4543
F	33851.6873	0	56557.0873	61022.1205	30605.8151	32386.0416	45206.7544	27835.7690	29464.3022	65319.4529	82815.7350
M2-1	37241.1738	0	0	0	52816.1575	19002.0142	11701.9285	26628.6055	23770.6264	23953.2433	28582.8617
M2-2	53474.5060	0	0	0	0	10231.8538	8401.3845	19117.9732	9308.7768	51591.6009	0
L	33683.7567	0	30014.1442	48575.5228	50159.5072	35233.0840	35633.1912	38214.7728	39481.7570	36830.7368	41364.0306
